date,time,symbol,strike,expiry,open,high,low,close,volume,oi,coi
250701,34260,QQQ250718C00550000,550,250718,869,880,860,867,5,4,-4
250701,34260,QQQ250718C00551000,551,250718,819,819,819,819,1,1,0
250701,34260,QQQ250718C00552000,552,250718,763,763,763,763,5,1,-6
250701,34260,QQQ250718C00554000,554,250718,651,651,651,651,4,3,0
250701,34260,QQQ250718C00555000,555,250718,617,617,617,617,1,1,-10
250701,34260,QQQ250718C00560000,560,250718,411,411,403,403,55,4,-1
250701,34260,QQQ250718C00565000,565,250718,256,259,250,252,52,6,3
250701,34260,QQQ250718C00570000,570,250718,151,151,151,151,20,1,-3
250701,34260,QQQ250725C00570000,570,250725,256,256,256,256,1,1,0
250701,34260,QQQ250725C00590000,590,250725,41,41,41,41,4,2,0
250701,34260,QQQ250731C00535000,535,250731,2272,2272,2272,2272,2,2,0
250701,34260,QQQ250731C00545000,545,250731,1548,1548,1539,1548,4,4,0
250701,34260,QQQ250731C00550000,550,250731,1216,1216,1206,1206,6,2,0
250701,34260,QQQ250731C00555000,555,250731,953,953,952,952,3,3,2
250701,34260,QQQ250731C00560000,560,250731,703,704,703,704,30,4,3
250701,34260,QQQ250731C00565000,565,250731,522,526,522,526,6,3,2
250701,34260,QQQ250801C00545000,545,250801,1577,1577,1577,1577,1,1,0
250701,34260,QQQ250801C00549000,549,250801,1325,1325,1325,1325,1,1,0
250701,34260,QQQ250808C00549000,549,250808,1488,1488,1488,1488,2,2,0
250701,34260,QQQ250808C00551000,551,250808,1362,1362,1347,1347,4,3,1
250701,34260,QQQ250815C00525000,525,250815,3372,3372,3372,3372,1,1,0
250701,34260,QQQ250815C00535000,535,250815,2576,2576,2576,2576,12,5,0
250701,34260,QQQ250815C00545000,545,250815,1877,1877,1877,1877,7,2,0
250701,34260,QQQ250815C00550000,550,250815,1568,1568,1560,1560,17,6,-4
250701,34260,QQQ250815C00585000,585,250815,262,262,258,258,100,4,1
250701,34260,QQQ250815C00590000,590,250815,190,190,188,188,4,2,0
250701,34260,QQQ250829C00535000,535,250829,2898,2898,2898,2898,2,1,0
250701,34260,QQQ250919C00530000,530,250919,3640,3640,3640,3640,2,1,0
250701,34260,QQQ250919C00535000,535,250919,3279,3279,3279,3279,1,1,0
250701,34260,QQQ250919C00555000,555,250919,1960,1960,1951,1951,4,2,0
250701,34260,QQQ250919C00560000,560,250919,1671,1671,1671,1671,1,1,0
250701,34260,QQQ250919C00600000,600,250919,344,344,344,344,1,1,0
250701,34260,QQQ250930C00439000,439,250930,11808,11808,11808,11808,5,1,0
250701,34260,QQQ250930C00560000,560,250930,1789,1789,1789,1789,5,1,0
250701,34260,QQQ250930C00680000,680,250930,19,19,19,19,1,1,0
250701,34260,QQQ251121C00600000,600,251121,930,930,930,930,3,1,0
250701,34260,QQQ251219C00540000,540,251219,4257,4257,4257,4257,1,1,0
250701,34260,QQQ260116C00430000,430,260116,13416,13416,13416,13416,2,1,0
250701,34260,QQQ260116C00470000,470,260116,9950,9950,9950,9950,1,1,0
250701,34260,QQQ260116C00500000,500,260116,7470,7470,7470,7470,1,1,0
250701,34260,QQQ260116C00549780,549,260116,3929,3929,3929,3929,1,1,0
250701,34260,QQQ260116C00550000,550,260116,3925,3925,3917,3917,7,2,0
250701,34260,QQQ260331C00570000,570,260331,3604,3604,3604,3604,1,1,0
250701,34260,QQQ260918C00800000,800,260918,192,192,192,192,1,1,0
250701,34320,QQQ250701C00529000,529,250701,2071,2071,2071,2071,2,1,0
250701,34320,QQQ250701C00539000,539,250701,1075,1075,1075,1075,1,1,0
250701,34320,QQQ250701C00543000,543,250701,693,693,693,693,1,1,-1
250701,34320,QQQ250701C00545000,545,250701,504,504,504,504,1,1,-3
250701,34320,QQQ250701C00546000,546,250701,422,425,400,425,55,6,1
250701,34320,QQQ250701C00547000,547,250701,336,336,321,321,10,5,-2
250701,34320,QQQ250701C00548000,548,250701,248,256,239,256,31,11,5
250701,34320,QQQ250701C00549000,549,250701,180,191,170,187,193,41,-27
250701,34320,QQQ250701C00550000,550,250701,124,136,113,136,1447,237,58
250701,34320,QQQ250701C00551000,551,250701,77,85,69,85,455,114,-39
